recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
5,2) $100 - $200,614.96,1,0,Rural,1,Phone,No E-Mail,0,0,0.0
2,2) $100 - $200,201.65,0,1,Rural,1,Web,Mens E-Mail,0,0,0.0
6,2) $100 - $200,855.84,0,0,Rural,0,Phone,No E-Mail,0,0,0.0
3,4) $350 - $500,328.32,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0
5,4) $350 - $500,349.61,0,0,Rural,1,Multichannel,Womens E-Mail,0,0,0.0
5,"6) $750 - $1,000",895.88,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
1,1) $0 - $100,1032.7,1,1,Surburban,0,Web,No E-Mail,1,0,0.0
5,"6) $750 - $1,000",1158.52,0,1,Urban,1,Phone,Mens E-Mail,0,0,0.0
3,1) $0 - $100,1116.77,0,1,Rural,0,Web,No E-Mail,1,0,0.0
7,5) $500 - $750,165.28,1,1,Rural,1,Multichannel,Womens E-Mail,1,0,0.0
8,"6) $750 - $1,000",756.27,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0
9,1) $0 - $100,1415.46,1,1,Rural,0,Multichannel,Mens E-Mail,1,0,0.0
2,"6) $750 - $1,000",1024.3,0,0,Rural,1,Web,Mens E-Mail,0,0,0.0
5,2) $100 - $200,877.68,0,0,Urban,0,Web,Womens E-Mail,0,0,0.0
8,1) $0 - $100,483.96,0,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0
10,"7) $1,000 +",635.62,0,0,Urban,0,Phone,Mens E-Mail,1,0,0.0
5,5) $500 - $750,1022.41,1,0,Urban,1,Web,Mens E-Mail,0,0,0.0
4,2) $100 - $200,1453.05,0,1,Rural,0,Phone,Mens E-Mail,0,0,0.0
10,1) $0 - $100,894.46,0,1,Urban,1,Multichannel,Mens E-Mail,0,0,0.0
7,"7) $1,000 +",375.13,0,0,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
9,2) $100 - $200,66.98,1,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
2,"6) $750 - $1,000",1420.66,0,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
2,1) $0 - $100,1437.11,1,1,Urban,1,Multichannel,Womens E-Mail,1,0,0.0
6,3) $200 - $350,613.43,1,0,Urban,0,Web,Womens E-Mail,0,0,0.0
7,2) $100 - $200,129.84,1,1,Rural,1,Phone,No E-Mail,0,0,0.0
9,1) $0 - $100,581.37,0,0,Rural,0,Multichannel,No E-Mail,0,0,0.0
8,"7) $1,000 +",1466.91,0,1,Surburban,0,Multichannel,Mens E-Mail,1,1,83.27
4,4) $350 - $500,859.22,1,0,Rural,0,Phone,Mens E-Mail,0,0,0.0
3,"6) $750 - $1,000",218.07,0,0,Surburban,0,Phone,No E-Mail,0,0,0.0
4,"7) $1,000 +",542.0,1,1,Rural,1,Phone,No E-Mail,0,0,0.0
3,2) $100 - $200,66.26,0,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
1,1) $0 - $100,1165.33,0,0,Rural,0,Multichannel,Mens E-Mail,1,0,0.0
7,1) $0 - $100,39.09,0,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
5,5) $500 - $750,608.83,1,1,Rural,0,Web,No E-Mail,0,0,0.0
6,"6) $750 - $1,000",959.09,1,0,Surburban,0,Phone,Mens E-Mail,1,0,0.0
9,5) $500 - $750,117.39,1,1,Urban,1,Phone,Mens E-Mail,1,0,0.0
1,3) $200 - $350,621.45,0,1,Rural,0,Phone,Mens E-Mail,0,0,0.0
7,2) $100 - $200,905.31,0,1,Urban,0,Web,No E-Mail,0,0,0.0
9,4) $350 - $500,195.68,1,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
9,5) $500 - $750,342.34,0,0,Rural,0,Web,Mens E-Mail,0,0,0.0
8,5) $500 - $750,257.25,0,1,Urban,0,Multichannel,Mens E-Mail,1,0,0.0
6,1) $0 - $100,224.6,1,1,Surburban,0,Multichannel,Womens E-Mail,0,0,0.0
9,3) $200 - $350,1121.08,0,0,Urban,1,Phone,Mens E-Mail,0,0,0.0
11,2) $100 - $200,779.62,1,1,Rural,1,Web,Womens E-Mail,1,0,0.0
9,"7) $1,000 +",1018.05,0,1,Rural,1,Multichannel,Womens E-Mail,0,0,0.0
5,"6) $750 - $1,000",875.97,1,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
3,4) $350 - $500,1483.15,0,1,Rural,1,Multichannel,Womens E-Mail,1,0,0.0
4,2) $100 - $200,452.99,1,0,Surburban,1,Multichannel,Mens E-Mail,0,0,0.0
4,5) $500 - $750,691.57,0,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
10,1) $0 - $100,37.16,1,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0
1,1) $0 - $100,1184.99,1,0,Rural,1,Multichannel,Mens E-Mail,0,0,0.0
2,3) $200 - $350,635.73,1,1,Urban,0,Web,No E-Mail,1,0,0.0
11,1) $0 - $100,948.72,1,0,Surburban,1,Phone,Mens E-Mail,1,0,0.0
5,"6) $750 - $1,000",233.73,0,0,Surburban,1,Web,No E-Mail,0,0,0.0
5,"7) $1,000 +",1299.09,0,0,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
