client_id,gender,age,average_amount,purchase_sum_3m,purchase_count_3m,days_since_first,days_since_last
c_000000,M,30.0,4349.41,33063.2,9,1862,178
c_000001,M,35.0,608.56,34846.74,42,1357,110
c_000002,F,49.0,583.21,44114.01,6,1951,136
c_000003,F,45.0,1692.99,45621.02,28,1858,278
c_000004,F,59.0,4553.59,15488.82,13,1677,90
c_000005,F,53.0,3628.61,40531.27,40,48,11
c_000006,M,48.0,2021.69,45277.46,36,284,302
c_000007,F,54.0,2384.09,5740.55,11,1216,152
c_000008,F,24.0,2767.89,11825.17,45,385,295
c_000009,M,74.0,519.0,27164.16,39,1789,239
c_000010,F,27.0,4772.68,29989.71,30,1060,118
c_000011,F,42.0,4832.19,6564.97,1,1734,340
c_000012,F,39.0,3378.92,42391.01,34,548,4
c_000013,M,24.0,1621.5,29500.26,12,1302,355
c_000014,M,40.0,636.74,5397.01,18,875,142
c_000015,M,53.0,1154.06,10295.56,36,1475,50
c_000016,F,40.0,3894.98,48512.55,7,102,7
c_000017,M,46.0,956.68,23503.7,33,493,101
c_000018,F,66.0,1044.2,20656.73,8,706,51
c_000019,M,38.0,1477.92,3304.83,12,68,3
c_000020,M,64.0,4626.73,20334.75,1,127,221
c_000021,F,,4631.28,26440.86,41,231,11
c_000022,F,,722.47,16149.6,49,1517,329
c_000023,M,55.0,2514.08,47909.34,45,1485,126
c_000024,F,53.0,1931.64,268.16,12,1646,89
c_000025,F,57.0,2709.68,19295.26,7,1594,15
c_000026,M,44.0,4931.71,42251.53,16,537,342
c_000027,M,75.0,1336.26,11802.25,0,836,249
c_000028,M,71.0,3801.1,18893.41,47,1569,135
c_000029,M,49.0,4837.83,13603.27,11,1253,7
c_000030,M,65.0,3719.42,16474.38,26,1723,116
c_000031,F,43.0,4163.43,28526.73,7,1076,210
c_000032,F,66.0,3710.78,27591.79,0,1098,66
c_000033,F,26.0,4924.45,17807.25,15,1615,94
c_000034,M,63.0,4487.95,4930.0,33,1471,164
c_000035,M,49.0,996.98,22089.55,13,918,322
c_000036,M,28.0,470.91,27948.88,6,86,59
c_000037,M,33.0,3653.55,48088.61,6,355,85
c_000038,F,30.0,3453.8,5164.02,6,1046,185
c_000039,M,76.0,1734.06,34204.84,43,743,361
c_000040,F,39.0,1059.3,25261.39,48,898,128
c_000041,M,25.0,1750.28,5145.04,19,1345,53
c_000042,F,77.0,1928.29,26954.24,37,618,309
c_000043,M,,2933.56,3056.53,35,1468,246
c_000044,F,59.0,4257.84,28439.02,32,1586,241
c_000045,M,22.0,4628.73,20370.21,10,955,178
c_000046,F,75.0,4330.53,7039.3,45,1899,80
c_000047,M,71.0,3393.71,42446.03,32,376,107
c_000048,F,63.0,4107.3,25417.27,28,814,51
c_000049,F,31.0,299.2,10843.72,2,71,322
c_000050,F,43.0,4356.16,31834.34,47,1216,12
c_000051,U,73.0,3724.98,46773.35,32,786,28
c_000052,M,44.0,1557.3,38117.88,46,650,329
c_000053,F,47.0,1160.06,9984.75,35,731,302
c_000054,M,69.0,2133.0,33542.57,6,255,107
c_000055,F,69.0,2606.12,13664.75,30,1022,292
c_000056,F,59.0,1163.84,1453.32,36,557,121
c_000057,F,29.0,1086.96,899.22,39,1556,264
c_000058,M,47.0,894.87,10168.17,44,1631,11
c_000059,M,47.0,1813.36,13629.15,40,394,1
c_000060,M,21.0,1515.05,44408.88,37,919,262
c_000061,F,,709.14,44747.6,0,830,137
c_000062,M,69.0,2626.22,33632.4,35,327,115
c_000063,F,29.0,3097.0,30286.82,36,1769,362
c_000064,M,65.0,4882.22,7738.2,42,1458,292
c_000065,M,,2684.43,7074.47,36,1150,7
c_000066,F,28.0,1378.23,47375.73,33,518,58
c_000067,F,72.0,2347.9,24071.24,16,1112,139
c_000068,M,62.0,3891.99,37284.01,38,309,260
c_000069,F,35.0,4427.54,21700.79,26,1933,331
c_000070,F,19.0,2522.68,23276.02,23,58,214
c_000071,F,23.0,2956.35,4799.7,32,81,65
c_000072,M,75.0,1758.92,31836.49,28,1788,17
c_000073,F,44.0,2432.48,119.52,35,1333,270
c_000074,M,24.0,3546.82,23022.25,42,1727,49
c_000075,F,41.0,1177.8,20148.75,38,1154,290
c_000076,M,77.0,4042.57,37097.93,2,1706,175
c_000077,F,46.0,2714.23,20047.55,48,251,76
c_000078,M,67.0,1620.14,16828.54,29,635,143
c_000079,F,66.0,2822.93,40596.23,4,611,280
c_000080,F,62.0,1228.62,48568.3,47,777,29
c_000081,F,64.0,1533.32,7915.11,9,406,280
c_000082,M,54.0,3487.66,37393.38,17,1529,266
c_000083,M,78.0,684.14,14684.99,35,1825,218
c_000084,M,64.0,432.51,27385.78,44,1082,85
c_000085,F,46.0,3558.94,38080.11,6,525,258
c_000086,M,32.0,3761.35,14802.45,39,1464,165
c_000087,F,78.0,519.97,32347.69,43,253,162
c_000088,F,45.0,2817.23,13134.07,31,1366,202
c_000089,M,64.0,1860.89,28853.36,29,158,223
c_000090,M,39.0,902.44,4098.4,19,672,320
c_000091,M,29.0,1505.54,3548.14,2,1265,4
c_000092,F,51.0,1792.76,10363.89,24,1056,206
c_000093,M,34.0,2052.07,12204.71,7,1567,263
c_000094,M,49.0,1700.16,28715.32,44,1498,340
c_000095,M,51.0,1287.23,10016.26,40,1140,103
c_000096,M,76.0,4052.27,6095.04,49,1518,120
c_000097,M,38.0,416.38,8101.89,24,756,58
c_000098,M,46.0,3911.77,13620.13,27,1349,271
c_000099,F,32.0,2093.97,8791.12,18,954,208
c_000100,F,,1001.82,40849.73,2,1340,246
c_000101,F,37.0,3763.15,36646.93,31,1970,93
c_000102,F,36.0,1118.41,6461.96,0,1753,288
c_000103,M,48.0,3854.31,21702.46,17,330,103
c_000104,M,66.0,1057.21,9324.48,20,712,19
c_000105,U,52.0,3370.51,15597.0,8,869,312
c_000106,M,77.0,3640.1,22886.38,42,243,179
c_000107,M,23.0,2611.32,43331.17,31,933,201
c_000108,M,,2064.8,48074.47,33,961,312
c_000109,M,34.0,3347.33,48912.83,9,1125,272
c_000110,M,35.0,418.53,1302.57,2,1927,34
c_000111,F,37.0,1997.03,1440.35,21,372,298
c_000112,U,19.0,635.2,29529.28,14,1172,326
c_000113,F,36.0,154.87,21829.08,42,574,89
c_000114,F,25.0,3103.82,8063.77,31,1379,322
c_000115,F,56.0,2236.88,35450.07,12,883,314
c_000116,M,51.0,4214.39,28713.75,46,512,2
c_000117,F,34.0,3466.39,10126.53,17,1146,255
c_000118,M,62.0,3137.96,25995.84,15,1803,224
c_000119,M,75.0,3335.65,5115.23,9,630,183
c_000120,M,64.0,4416.76,10491.79,16,950,4
c_000121,F,61.0,1514.66,3396.53,49,1272,111
c_000122,M,22.0,2044.12,3803.08,15,654,197
c_000123,F,50.0,4857.92,19424.36,11,1140,124
c_000124,F,28.0,1522.76,9674.81,6,470,69
c_000125,M,50.0,3122.39,100.62,37,1958,341
c_000126,M,61.0,4194.15,5751.88,41,1718,90
c_000127,M,62.0,2271.16,11203.67,3,1106,318
c_000128,M,29.0,3387.52,27913.42,38,393,284
c_000129,F,52.0,3755.39,12218.1,18,1164,293
c_000130,M,53.0,1533.83,330.81,43,1847,78
c_000131,F,29.0,4569.29,8142.47,41,762,282
c_000132,M,69.0,3231.44,38117.74,39,570,277
c_000133,M,63.0,490.25,15611.59,40,1935,18
c_000134,F,69.0,2776.75,24889.33,38,207,130
c_000135,F,18.0,777.22,7545.01,21,1936,45
c_000136,F,68.0,4385.5,30620.36,24,546,220
c_000137,F,25.0,1600.93,25698.97,6,1558,269
c_000138,M,21.0,1025.83,101.78,22,1773,103
c_000139,F,27.0,2805.71,48357.64,25,1822,183
c_000140,M,50.0,2972.31,30604.8,5,1938,221
c_000141,M,31.0,3649.19,48435.1,27,1054,310
c_000142,M,26.0,240.24,44857.75,18,322,210
c_000143,M,22.0,3138.3,24973.39,31,1703,171
c_000144,M,76.0,897.13,37517.6,38,1349,39
c_000145,F,51.0,2401.58,39859.16,2,1871,199
c_000146,M,37.0,3493.57,11303.19,25,1810,10
c_000147,F,,3666.63,17833.66,30,270,305
c_000148,M,75.0,3348.31,23805.58,19,1363,123
c_000149,F,52.0,2712.65,19006.3,32,275,122
c_000150,M,31.0,3566.0,45304.64,25,425,25
c_000151,M,49.0,2721.11,24947.8,18,1138,200
c_000152,M,61.0,2832.55,42017.46,34,116,340
c_000153,M,49.0,4974.0,22606.11,27,918,52
c_000154,F,61.0,1149.24,46658.68,33,1418,327
c_000155,F,50.0,2302.11,46198.18,32,879,39
c_000156,M,20.0,210.41,41715.13,41,951,306
c_000157,U,34.0,1819.06,31964.37,15,819,63
c_000158,M,79.0,3739.85,16858.36,43,1522,247
c_000159,F,49.0,1851.79,4135.37,40,1529,327
c_000160,M,75.0,4695.75,48329.43,3,1607,6
c_000161,M,78.0,3546.49,42120.87,8,1104,45
c_000162,F,72.0,4064.82,42564.42,3,1564,189
c_000163,M,57.0,4793.34,49615.62,33,1444,300
c_000164,F,49.0,622.93,6931.55,48,466,255
c_000165,M,53.0,1108.41,4810.85,34,859,321
c_000166,F,,1394.64,4368.53,21,165,294
c_000167,M,39.0,2720.35,38930.32,10,778,264
c_000168,M,26.0,264.58,40317.68,31,1348,74
c_000169,F,60.0,1872.67,9790.39,46,894,49
c_000170,F,76.0,736.86,49.93,40,1627,269
c_000171,M,54.0,3932.3,24002.37,3,1729,184
c_000172,M,30.0,3487.32,45168.78,10,1719,83
c_000173,M,61.0,4851.31,14568.21,26,587,7
c_000174,F,21.0,3149.8,48263.99,16,1766,335
c_000175,F,23.0,687.25,9082.59,48,132,191
c_000176,M,28.0,1935.73,10679.28,41,1171,101
c_000177,M,72.0,2341.68,922.07,45,229,246
c_000178,M,41.0,1928.8,41205.36,28,690,263
c_000179,F,66.0,3808.17,47696.22,19,32,166
c_000180,M,28.0,3472.38,28628.66,2,1531,223
c_000181,M,24.0,1878.83,5038.72,29,1715,60
c_000182,M,44.0,3092.36,12986.02,4,1636,160
c_000183,M,46.0,2911.59,22408.21,45,1529,206
c_000184,F,20.0,4164.22,12495.19,45,1734,274
c_000185,F,26.0,3872.09,4116.45,6,1453,356
c_000186,F,44.0,1256.62,8129.28,20,1515,339
c_000187,F,42.0,2391.69,48590.91,3,1720,40
c_000188,M,67.0,3335.29,46019.56,10,98,285
c_000189,F,22.0,4164.49,43864.78,15,317,149
c_000190,F,78.0,1099.49,34133.56,18,719,236
c_000191,M,76.0,2171.96,7542.64,4,1013,108
c_000192,M,59.0,3075.93,40373.21,1,1414,287
c_000193,F,57.0,4421.74,19340.81,23,247,159
c_000194,M,62.0,2327.55,5208.52,19,1639,88
c_000195,M,53.0,1420.36,49292.81,11,1431,52
c_000196,M,33.0,2954.04,13352.28,26,266,238
c_000197,F,78.0,4934.24,2847.11,34,1353,93
