client_id,treatment_flg,target
c_000000,0,0
c_000001,0,0
c_000002,0,0
c_000003,0,0
c_000004,0,0
c_000005,1,0
c_000006,0,1
c_000007,1,0
c_000008,0,0
c_000009,0,0
c_000010,0,0
c_000011,0,1
c_000012,0,0
c_000013,1,0
c_000014,0,0
c_000015,1,0
c_000016,1,0
c_000017,0,0
c_000018,1,0
c_000019,1,0
c_000020,1,0
c_000021,0,0
c_000022,0,0
c_000023,1,0
c_000024,1,0
c_000025,1,0
c_000026,1,1
c_000027,0,0
c_000028,0,0
c_000029,1,1
c_000030,0,1
c_000031,0,1
c_000032,1,0
c_000033,0,0
c_000034,0,0
c_000035,0,1
c_000036,0,0
c_000037,1,0
c_000038,0,0
c_000039,1,1
c_000040,1,0
c_000041,0,0
c_000042,0,0
c_000043,1,0
c_000044,0,0
c_000045,1,0
c_000046,0,0
c_000047,0,0
c_000048,1,0
c_000049,0,1
c_000050,1,1
c_000051,1,0
c_000052,0,0
c_000053,0,0
c_000054,0,0
c_000055,1,0
c_000056,1,0
c_000057,0,0
c_000058,0,0
c_000059,0,0
c_000060,0,0
c_000061,1,0
c_000062,0,0
c_000063,1,1
c_000064,0,0
c_000065,0,0
c_000066,0,0
c_000067,0,0
c_000068,0,0
c_000069,1,0
c_000070,0,1
c_000071,1,1
c_000072,1,0
c_000073,1,0
c_000074,1,0
c_000075,1,0
c_000076,1,1
c_000077,0,0
c_000078,0,1
c_000079,1,0
c_000080,1,0
c_000081,0,0
c_000082,1,1
c_000083,0,0
c_000084,0,0
c_000085,0,0
c_000086,0,0
c_000087,1,0
c_000088,1,0
c_000089,0,0
c_000090,1,0
c_000091,0,0
c_000092,1,0
c_000093,0,0
c_000094,1,0
c_000095,1,0
c_000096,0,0
c_000097,1,1
c_000098,0,0
c_000099,0,0
c_000100,0,0
c_000101,1,0
c_000102,0,0
c_000103,0,0
c_000104,1,1
c_000105,0,1
c_000106,1,0
c_000107,1,0
c_000108,0,0
c_000109,1,0
c_000110,0,0
c_000111,0,0
c_000112,0,0
c_000113,0,0
c_000114,1,0
c_000115,0,0
c_000116,0,0
c_000117,1,0
c_000118,1,0
c_000119,1,0
c_000120,1,0
c_000121,0,0
c_000122,0,1
c_000123,0,0
c_000124,0,0
c_000125,0,0
c_000126,0,1
c_000127,1,0
c_000128,0,0
c_000129,0,0
c_000130,0,0
c_000131,0,0
c_000132,0,0
c_000133,1,0
c_000134,1,0
c_000135,1,0
c_000136,0,0
c_000137,1,0
c_000138,0,0
c_000139,0,0
c_000140,0,1
c_000141,0,0
c_000142,0,0
c_000143,0,0
c_000144,0,0
c_000145,1,0
c_000146,0,0
c_000147,0,0
c_000148,0,1
c_000149,1,0
c_000150,0,0
c_000151,1,0
c_000152,0,0
c_000153,1,0
c_000154,0,0
c_000155,0,1
c_000156,1,0
c_000157,1,0
c_000158,0,0
c_000159,0,0
c_000160,0,0
c_000161,0,0
c_000162,0,0
c_000163,0,0
c_000164,1,0
c_000165,1,0
c_000166,1,0
c_000167,0,0
c_000168,1,0
c_000169,1,0
c_000170,1,0
c_000171,1,0
c_000172,0,0
c_000173,1,0
c_000174,0,0
c_000175,1,0
c_000176,0,0
c_000177,1,0
c_000178,1,0
c_000179,0,0
c_000180,0,0
c_000181,0,0
c_000182,1,0
c_000183,0,0
c_000184,0,0
c_000185,0,0
c_000186,1,0
c_000187,0,0
c_000188,0,0
c_000189,0,0
c_000190,0,0
c_000191,1,0
c_000192,1,0
c_000193,1,0
c_000194,1,0
c_000195,0,0
c_000196,1,0
c_000197,0,0
c_000198,1,0
c_000199,1,1
c_000200,1,0
c_000201,1,0
c_000202,0,0
c_000203,1,0
c_000204,0,0
c_000205,0,1
c_000206,0,0
c_000207,0,0
c_000208,1,0
c_000209,1,0
c_000210,1,0
c_000211,0,0
c_000212,0,0
c_000213,0,0
c_000214,0,0
c_000215,0,0
c_000216,1,0
c_000217,1,1
c_000218,1,0
c_000219,1,0
c_000220,1,0
c_000221,1,0
c_000222,1,0
c_000223,1,0
c_000224,0,0
c_000225,1,0
c_000226,1,0
c_000227,0,0
c_000228,0,0
c_000229,1,0
