bucket,n_treat,n_ctrl,mean_y_treat,mean_y_ctrl,uplift,n_total
1,12990,2010,0.27890685142417243,0.21840796019900496,0.06049889122516747,15000
2,12874,2126,0.09258971570607426,0.07714016933207903,0.015449546373995232,15000
3,12724,2276,0.03340144608613643,0.03471001757469244,-0.0013085714885560096,15000
4,12646,2354,0.013996520638937214,0.013169073916737469,0.0008274467221997452,15000
5,12664,2336,0.003948199620972836,0.005565068493150685,-0.0016168688721778486,15000
6,12787,2213,0.001094861969187456,0.0009037505648441031,0.00019111140434335285,15000
7,12721,2279,0.005266881534470561,0.004387889425186486,0.0008789921092840752,15000
8,12713,2287,0.00291040667033745,0.0008745080891998251,0.002035898581137625,15000
9,12682,2318,0.0016558902381327866,0.0021570319240724763,-0.0005011416859396897,15000
10,12732,2267,0.046497015394282123,0.043670048522276135,0.0028269668720059885,14999
