bucket,n_treat,n_ctrl,mean_y_treat,mean_y_ctrl,uplift,n_total
1,13015,1985,0.2756050710718402,0.20906801007556675,0.06653706099627343,15000
2,12882,2118,0.07716193137711536,0.06704438149197356,0.010117549885141797,15000
3,12688,2312,0.028846153846153848,0.022923875432525952,0.005922278413627895,15000
4,12589,2411,0.008896655810628326,0.010369141435089175,-0.0014724856244608484,15000
5,12796,2204,0.008361988121287902,0.007713248638838476,0.0006487394824494265,15000
6,12634,2366,0.00554060471742916,0.005494505494505495,4.609922292366474e-05,15000
7,12984,2016,0.0006161429451632779,0.002976190476190476,-0.002360047531027198,15000
8,12572,2428,0.0009545020680878142,0.0008237232289950577,0.00013077883909275655,15000
9,12670,2330,0.001026045777426993,0.0012875536480686696,-0.0002615078706416766,15000
10,12703,2296,0.07313233094544595,0.07317073170731707,-3.840076187111574e-05,14999
