bucket,n_treat,n_ctrl,mean_y_treat,mean_y_ctrl,uplift,n_total
1,13027,1973,0.3125047977277961,0.24480486568677143,0.06769993204102467,15000
2,12770,2230,0.10227094753328113,0.09282511210762331,0.009445835425657814,15000
3,12757,2243,0.025241044132633065,0.028533214444939812,-0.003292170312306747,15000
4,12683,2317,0.01056532366159426,0.00906344410876133,0.0015018795528329298,15000
5,12684,2316,0.005124566382844528,0.004749568221070812,0.00037499816177371647,15000
6,12719,2281,0.00283041119584873,0.00131521262604121,0.0015151985698075201,15000
7,12734,2266,0.0018847180775875608,0.00176522506619594,0.00011949301139162075,15000
8,12712,2288,0.0003933291378225299,0.0013111888111888112,-0.0009178596733662814,15000
9,12729,2271,0.00023568230025925054,0.0008806693086745927,-0.0006449870084153421,15000
10,12718,2281,0.018241861927976097,0.020166593599298552,-0.001924731671322455,14999
