bucket,n_treat,n_ctrl,mean_y_treat,mean_y_ctrl,uplift,n_total
1,13027,1973,0.2757350118983649,0.20831221490116575,0.06742279699719916,15000
2,12800,2200,0.05875,0.04909090909090909,0.009659090909090909,15000
3,12744,2256,0.01522284996861268,0.015070921985815602,0.0001519279827970777,15000
4,12724,2276,0.00730902232002515,0.007469244288224956,-0.00016022196819980624,15000
5,12634,2366,0.006015513693208801,0.007185122569737954,-0.001169608876529153,15000
6,12706,2294,0.002439792224146073,0.0017436791630340018,0.0006961130611120711,15000
7,12722,2278,0.0006288319446627889,0.0004389815627743635,0.00018985038188842543,15000
8,12750,2250,0.000784313725490196,0.0017777777777777779,-0.0009934640522875817,15000
9,12725,2275,0.001100196463654224,0.0008791208791208791,0.00022107558453334495,15000
10,12701,2298,0.11243209196126289,0.10704960835509138,0.005382483606171509,14999
