bucket,n_treat,n_ctrl,mean_y_treat,mean_y_ctrl,uplift,n_total
1,13007,1993,0.27600522795417853,0.20822880080280984,0.0677764271513687,15000
2,12840,2160,0.08115264797507789,0.0712962962962963,0.009856351678781586,15000
3,12705,2295,0.026131444313262496,0.02701525054466231,-0.0008838062313998134,15000
4,12744,2256,0.009416195856873822,0.011081560283687944,-0.0016653644268141213,15000
5,12627,2373,0.00958264037380217,0.0067425200168563,0.0028401203569458694,15000
6,12692,2308,0.002206114087614245,0.004766031195840554,-0.002559917108226309,15000
7,12708,2292,0.0009442870632672333,0.0013089005235602095,-0.0003646134602929762,15000
8,12715,2285,0.0011010617381046008,0.000437636761487965,0.0006634249766166358,15000
9,12718,2282,0.00267337631703098,0.0021910604732690623,0.00048231584376191763,15000
10,12777,2222,0.07083039837207482,0.06840684068406841,0.0024235576880064086,14999
