bucket,n_treat,n_ctrl,mean_y_treat,mean_y_ctrl,uplift,n_total
1,12,8,0.4166666666666667,0.25,0.16666666666666669,20
2,8,12,0.0,0.16666666666666666,-0.16666666666666666,20
3,13,7,0.3076923076923077,0.0,0.3076923076923077,20
4,12,8,0.25,0.0,0.25,20
5,9,11,0.3333333333333333,0.2727272727272727,0.06060606060606061,20
6,13,7,0.5384615384615384,0.14285714285714285,0.3956043956043956,20
7,9,10,0.3333333333333333,0.0,0.3333333333333333,19
8,12,7,0.16666666666666666,0.0,0.16666666666666666,19
9,11,8,0.2727272727272727,0.25,0.022727272727272707,19
10,9,10,0.2222222222222222,0.3,-0.07777777777777778,19
