model,dataset,seed,qini,qini_ci_lower,qini_ci_upper,auuc,auuc_raw,auuc_normalized,uplift_at_10,uplift_at_20,uplift_at_30,overlap_ess_ratio,overlap_pct_below_clip,overlap_pct_above_clip
s_learner,synthetic,42,0.0253802959930514,-0.0246431987986417,0.0749383524720627,0.3990550459357529,0.1012547264737121,0.3990550459357529,0.1055729984301412,0.2315694255992763,0.1928212242066933,0.3303355373503917,0.1012658227848101,0.111925383077948
s_learner,synthetic,43,-0.0274042012701563,-0.0689481030796073,0.0244912195199886,0.3649740758622137,0.0926071493088551,0.3649740758622137,0.033068783068783,0.1341911764705882,0.1464366221605688,0.331649093016636,0.1039307128580946,0.1379080612924716
s_learner,synthetic,44,0.0592032549621143,0.0086903203113975,0.1085245607572587,0.3870270856511122,0.098202797069331,0.3870270856511122,0.3630421865715983,0.2952380952380952,0.2800637958532695,0.3467793757436198,0.1272485009993337,0.1039307128580946
t_learner,synthetic,42,0.0609483923530547,0.0166367066816937,0.1043358387599134,0.3652732005289784,0.0926830480767651,0.3652732005289784,0.2970460648626317,0.2387014339122615,0.2324959464296995,0.3303355373503917,0.1012658227848101,0.111925383077948
t_learner,synthetic,43,0.0316692970323336,-0.0047194284768073,0.0795890180787349,0.3216989581365408,0.0816266836987644,0.3216989581365408,0.25,0.2556990881458966,0.2360883050538223,0.331649093016636,0.1039307128580946,0.1379080612924716
t_learner,synthetic,44,0.0581105877970231,0.0123793722364842,0.1047397095150196,0.3449852012006969,0.0875352474322026,0.3449852012006969,0.4541917914802567,0.3648194595617813,0.3143717584072277,0.3467793757436198,0.1272485009993337,0.1039307128580946
x_learner,synthetic,42,0.0289237320828053,-0.0188064922441891,0.0757073316193182,0.3711472393067305,0.0941735045834422,0.3711472393067305,0.2046568627450979,0.138862629981591,0.1988108588476757,0.3303355373503917,0.1012658227848101,0.111925383077948
x_learner,synthetic,43,-0.0019368191127601,-0.046136594363536,0.0426409803162776,0.3313094313482651,0.0840652090256506,0.3313094313482651,0.0935550935550936,0.1649999999999999,0.1332425598132659,0.331649093016636,0.1039307128580946,0.1379080612924716
x_learner,synthetic,44,0.0580620609908381,0.011134892709086,0.1031396725536923,0.3625111078458126,0.0919822050678184,0.3625111078458126,0.2603174603174604,0.2627279635258359,0.2747647169299472,0.3467793757436198,0.1272485009993337,0.1039307128580946
r_learner,synthetic,42,0.0095118951632019,-0.0339391431232336,0.0482602884515609,0.3039386497057733,0.0771202498356636,0.3039386497057733,0.1729611384783799,0.1879307133544422,0.1917735910345948,0.3303355373503917,0.1012658227848101,0.111925383077948
r_learner,synthetic,43,0.0162885377030118,-0.0265891012866839,0.0591771975003672,0.3179572759013973,0.0806772833212235,0.3179572759013973,0.1774316109422491,0.2378914608052907,0.245189894595951,0.331649093016636,0.1039307128580946,0.1379080612924716
r_learner,synthetic,44,0.0324294490728896,-0.014097551877569,0.0719672828695115,0.3304452934220562,0.0838459459183551,0.3304452934220562,0.3284929356357928,0.2899531494013535,0.2393410852713178,0.3467793757436198,0.1272485009993337,0.1039307128580946
dr_learner,synthetic,42,0.0181379140609028,-0.0282393880658069,0.059693435603186,0.3281817418501648,0.083271600855925,0.3281817418501648,0.1911094224924011,0.2265398925175692,0.1871272918393337,0.3303355373503917,0.1012658227848101,0.111925383077948
dr_learner,synthetic,43,-0.0127575751600774,-0.0565334202501949,0.0297609556952176,0.294735755718354,0.0747851421282103,0.294735755718354,0.1204407294832826,0.1673495995529894,0.1553030303030302,0.331649093016636,0.1039307128580946,0.1379080612924716
dr_learner,synthetic,44,0.0495153647776871,0.0082978699277791,0.0952413400705837,0.3351963027491481,0.0850514491560367,0.3351963027491481,0.318287037037037,0.2947454844006568,0.2817460317460317,0.3467793757436198,0.1272485009993337,0.1039307128580946
class_transformation,synthetic,42,0.1048979655687301,0.0586539904138352,0.1543159299026289,0.3976661278924131,0.1009023076332411,0.3976661278924131,0.352,0.3704716336295283,0.3196120689655172,0.3303355373503917,0.1012658227848101,0.111925383077948
class_transformation,synthetic,43,0.1264936071465145,0.080105063644422,0.1734622368027068,0.4147862045802809,0.1052462915018679,0.4147862045802809,0.4254720771394134,0.3991683991683991,0.3683059611398374,0.331649093016636,0.1039307128580946,0.1379080612924716
class_transformation,synthetic,44,0.1046361224102964,0.0545355636156481,0.1546897019747864,0.4002900284780677,0.1015680862991183,0.4002900284780677,0.3409090909090909,0.3996651518775413,0.3367003367003367,0.3467793757436198,0.1272485009993337,0.1039307128580946
causal_forest,synthetic,42,0.0001604772770711,-0.0542463764627177,0.0435274334453317,0.3642656227040871,0.0924273890690683,0.3642656227040871,0.12893642305407,0.1890682746547364,0.165356764394207,0.3303355373503917,0.1012658227848101,0.111925383077948
causal_forest,synthetic,43,0.0021711110419236,-0.0381955718237719,0.0415647784216761,0.3090395124442858,0.0784145235621289,0.3090395124442858,0.13,0.1236370622988616,0.1540726609157265,0.331649093016636,0.1039307128580946,0.1379080612924716
causal_forest,synthetic,44,0.0727616971772083,0.0291230916022196,0.1136053901749084,0.3388347782279225,0.0859746622393864,0.3388347782279225,0.2156862745098039,0.2648176291793312,0.3279655345491049,0.3467793757436198,0.1272485009993337,0.1039307128580946
